,Address,Address Latitude,Address Longitude,Venue,Venue Distance,Venue Latitude,Venue Longitude,Venue Category
0,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,St Georges Golf and Country Club,837,43.674394614408236,-79.53714160371202,Golf Course
1,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Booster Juice,56,43.67952707,-79.54477308,Smoothie Shop
2,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Second Cup,60,43.67947508876911,-79.54477326697514,Coffee Shop
3,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Richview Square,157,43.67942702117278,-79.54612116948636,Shopping Mall
4,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,TD Canada Trust,223,43.6794111,-79.5469618,Bank
5,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Rexall,190,43.679583,-79.5466,Pharmacy
6,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Subway,60,43.679436161363554,-79.54469776309628,Sandwich Place
7,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Pizza Pizza,154,43.67943529490718,-79.54608846049521,Pizza Place
8,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Metro,1075,43.67488982915486,-79.55569727825377,Supermarket
9,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,LCBO,1127,43.67554526107106,-79.55691947853632,Liquor Store
10,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Starbucks,1073,43.674358,-79.555189,Coffee Shop
11,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,The Beer Store,190,43.6795838,-79.5466,Beer Store
12,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Shoppers Drug Mart,1098,43.674209,-79.555424,Pharmacy
13,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Asian Express,172,43.67945746920416,-79.54632995855519,Asian Restaurant
14,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Timothy's World News Cafe,218,43.67930625462119,-79.5468667405025,Café
15,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Pet Valu,219,43.67943347389306,-79.54691723525487,Pet Store
16,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,LCBO,227,43.679232760378945,-79.54695121186703,Liquor Store
17,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,M&M Food Market,251,43.67909066751657,-79.54719007015228,Grocery Store
18,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Westway Park,668,43.685527744829855,-79.5414340091045,Baseball Field
19,"86 Waterford Dr Toronto, ON",43.679882,-79.54426600000001,Wincott and Westway,712,43.685569,-79.548337,Intersection
20,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Rooster Coffee,207,43.65189965670432,-79.36560912104514,Coffee Shop
21,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,NEO COFFEE BAR,126,43.65070234158804,-79.36925939681731,Coffee Shop
22,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Fusaro's,236,43.65334679826618,-79.36951731755141,Italian Restaurant
23,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,LCBO,228,43.65098233828489,-79.36536081685296,Liquor Store
24,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,The Poet Cafe,271,43.65063683072023,-79.37127573699792,Café
25,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,EQ3,23,43.65129553904327,-79.36825667378011,Furniture / Home Store
26,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Starbucks,258,43.651613,-79.364917,Coffee Shop
27,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,The George Street Diner,316,43.65297,-79.371467,Diner
28,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Fahrenheit Coffee,384,43.65238358726612,-79.37271903848271,Coffee Shop
29,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,St. Lawrence Market (South Building),413,43.64874320223593,-79.37159697627527,Farmers Market
30,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Mystic Muffin,382,43.652483550499326,-79.37265472845176,Middle Eastern Restaurant
31,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Bellisimo Pizzeria & Ristorante,307,43.648748,-79.368684,Pizza Place
32,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,St. Lawrence Market Plaza,425,43.64916860422451,-79.37232987433548,Art Gallery
33,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Schnitzel Queen,363,43.65423906004429,-79.37053284604036,German Restaurant
34,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,St. Lawrence Market (North Building),429,43.64879290161719,-79.37194535820687,Farmers Market
35,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Distillery Sunday Market,529,43.650074989330655,-79.36183171318665,Farmers Market
36,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Market Street Catch,445,43.64850142396483,-79.3718080237409,Seafood Restaurant
37,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Roselle Desserts,538,43.653446723052674,-79.3620167174383,Bakery
38,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Arvo,563,43.64996280366945,-79.36144178325522,Coffee Shop
39,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Buster's Sea Cove,427,43.6484950904393,-79.37146231793892,Seafood Restaurant
40,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,GEORGE Restaurant,550,43.65334645635036,-79.3744449051126,Restaurant
41,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Tandem Coffee,558,43.65355870959944,-79.36180945913513,Coffee Shop
42,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Hogtown Smoke,582,43.64928693557788,-79.37468932637938,Food Truck
43,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Gyu-Kaku Japanese BBQ,558,43.651422275497914,-79.37504693687086,Japanese Restaurant
44,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Cacao 70,616,43.650066694561666,-79.36072263183006,Dessert Shop
45,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Crepe TO,544,43.650063279511016,-79.37458664523871,Creperie
46,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Fresh On Front,653,43.64781466405137,-79.3744527618627,Vegetarian / Vegan Restaurant
47,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,The Distillery Historic District,721,43.65024435658077,-79.35932278633118,Historic Site
48,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Terroni,605,43.650927,-79.375602,Italian Restaurant
49,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Versus Coffee,574,43.65121343781903,-79.37523564828548,Coffee Shop
50,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Betty's,50,43.65158716627337,-79.36751495404803,Bar
51,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Bolet's Burrito,175,43.64994971668551,-79.36757817556989,Burrito Place
52,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Balzac's Coffee,746,43.649797141476185,-79.35914199644303,Coffee Shop
53,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,The Keg Steakhouse + Bar - Esplanade,753,43.64671207408793,-79.37476761639118,Restaurant
54,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Berczy Park,684,43.64804835388851,-79.3751722909452,Park
55,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,The Grand Hotel & Suites Toronto,734,43.65644901207743,-79.3741100180102,Hotel
